 On 2022/6/20 ,,,,,,,,,,,,
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,37,51,3551,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3561,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3571,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3581,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3591,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3601,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3618,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3628,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3638,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3648,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3658,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3668,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
