 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,55,13,2194,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2204,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2222,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2232,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2242,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2252,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2262,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2272,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2282,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2300,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2310,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2320,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2330,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2340,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2350,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2360,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2378,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2388,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2398,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2408,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2418,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2428,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2438,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2455,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2465,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2475,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2485,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2495,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2505,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2515,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2532,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2542,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2552,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
